"most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","retired_date","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","percent_population"
"7/25/2019","inventory_date","Chinese pistache","Pistacia chinensis","Albuquerque","New Mexico",-106.7077227,35.11561991,"2808 Prenda De Oro Drive Northwest","fair",42.65092,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7077804,35.11554915,"2720 Ladera Drive Northwest","dead/dying",98.4252,"no_info","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Bur oak","Quercus macrocarpa","Albuquerque","New Mexico",-106.7079185,35.11558371,"2720 Ladera Drive Northwest","fair",39.37008,"naturally_occurring","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Chinese pistache","Pistacia chinensis","Albuquerque","New Mexico",-106.7078307,35.11549101,"2720 Ladera Drive Northwest","good",82.021,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Crabapple","Malus","Albuquerque","New Mexico",-106.7079735,35.11552721,"2720 Ladera Drive Northwest","dead/dying",78.74016,"no_info","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7080801,35.11539666,"2720 Ladera Drive Northwest","fair",65.6168,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7088378,35.11555573,"2713 Los Tretos Street Northwest","fair",180.4462,"no_info","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Boxelder","Acer negundo","Albuquerque","New Mexico",-106.7088345,35.115621,NA,"fair",68.89764,"naturally_occurring","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Texas red oak","Quercus buckleyi","Albuquerque","New Mexico",-106.7088854,35.11569889,NA,"fair",62.33596,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7088499,35.11592488,NA,"fair",NA,"no_info",NA,"15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7089082,35.11587716,NA,"fair",39.37008,"no_info","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Texas red oak","Quercus buckleyi","Albuquerque","New Mexico",-106.7087258,35.11582999,NA,"fair",NA,"introduced",NA,"0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7088687,35.1157872,NA,"fair",118.11024,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7090034,35.11587222,NA,"fair",131.2336,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Pine","Pinus","Albuquerque","New Mexico",-106.7087641,35.11592762,NA,"dead/dying",NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7086977,35.11606804,"2801 Prenda De Oro Drive Northwest","dead/dying",147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Tree of heaven","Ailanthus altissima","Albuquerque","New Mexico",-106.7085837,35.11599893,"2720 Ladera Drive Northwest","good",65.6168,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Tree of heaven","Ailanthus altissima","Albuquerque","New Mexico",-106.7085207,35.11593749,"2801 Prenda De Oro Drive Northwest","good",82.021,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Cottonwood","Populus deltoides","Albuquerque","New Mexico",-106.7085072,35.11575484,"2720 Ladera Drive Northwest","fair",196.8504,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","Cottonwood","Populus deltoides","Albuquerque","New Mexico",-106.708408,35.11576636,"2720 Ladera Drive Northwest","fair",147.6378,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","White ash","Fraxinus americana","Albuquerque","New Mexico",-106.708351,35.11548881,"2720 Ladera Drive Northwest","fair",91.86352,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Bur oak","Quercus macrocarpa","Albuquerque","New Mexico",-106.7086145,35.11534236,"2705 Los Tretos Street Northwest","good",127.95276,"naturally_occurring","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7087694,35.11548827,"2713 Los Tretos Street Northwest","fair",NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","White ash","Fraxinus americana","Albuquerque","New Mexico",-106.7083108,35.11535937,"2720 Ladera Drive Northwest","fair",262.4672,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Velvet ash arizona ash","Fraxinus velutina","Albuquerque","New Mexico",-106.7084341,35.11524912,"2720 Ladera Drive Northwest","fair",275.59056,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7133922,35.10891907,"2208 Sea Foam Street Northwest","good",104.98688,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7133929,35.10877261,"2204 Sea Foam Street Northwest","good",78.74016,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7133868,35.1087364,"2204 Sea Foam Street Northwest","good",114.8294,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7133191,35.10882691,"2208 Sea Foam Street Northwest","fair",39.37008,"no_info","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Pear","Pyrus","Albuquerque","New Mexico",-106.7130724,35.10875341,"6600 Miami Road Northwest","fair",88.58268,"no_info","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7131951,35.10882582,"2204 Sea Foam Street Northwest","fair",NA,"no_info",NA,"0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Austrian pine","Pinus nigra","Albuquerque","New Mexico",-106.7133936,35.10912533,"2216 Sea Foam Street Northwest","fair",131.2336,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/23/2019","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7133097,35.10893169,"2208 Sea Foam Street Northwest","fair",39.37008,"no_info","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
